GeoName,Description,Unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,Personal Income,USD,124177.4,137816.7,145538.6,155915.4,171352.1,184343.2,195108.8,206057.5,222109.3,241403.9,256936.8,271929.9,292017.8,305384.3,323147,341575.4,356872.2,375407.4,399091.4,412816.3,432011.7,447576.6,460030.7,480964,514425,544350,578876.1,607770.3,631121.4,622667.7,648275.4,671528.8,688405.8,694882.7,717948.4,749899,763487.3,791855.1,822696.7,860663.4,923490.3,1011167.7
Arizona,Personal Income,USD,105959.8,120893.2,128645.8,141819.5,159955.3,178116.4,194790.8,209080.7,226611.5,243107.3,255190.9,268918.3,286431.9,307733,336822.4,367229.2,397799.9,431189.9,471339.8,499689.1,542295,568391.2,589820.8,625635.3,681771.9,750899.7,831050.6,878316.3,893980.5,849134.2,864894.5,908813.1,945725.7,968121.1,1014846.5,1069896.1,1118787,1189046,1261835.8,1348856.3,1497247.1,1639542.8
Arkansas,Personal Income,USD,69585,78812,82785.9,87787.4,97786.2,103929.2,109211.9,113427.3,121959,130779,137824.8,145977.1,158790.1,166491.4,177008.8,188448.9,199878.2,209922.3,222745.4,231688.2,243544.6,256674.2,262795.3,278625.5,297234.6,311961.4,331566.5,353642.6,369742.7,363969.1,376507.9,401798.2,428029.5,428837.1,452686.2,466529.6,479035.3,495301.6,515883.3,525756.9,568446.7,625445.9
California,Personal Income,USD,1137666.6,1277427.4,1368578.7,1479703.2,1641286.6,1775554.1,1905937.9,2046452,2230472.1,2400774.4,2574495.2,2666430.5,2808093.8,2876059.6,2966607.1,3118418.9,3312589,3505761.2,3813442.2,4090731,4510200.3,4677465.4,4749123.8,4962416.7,5260688.9,5551535.3,5972868,6245228.6,6353178.3,6159274.7,6439989.9,6853712.1,7259052.1,7363541,7822872,8388198.3,8764552.1,9180194.6,9644220.5,10151802.4,11070085.5,12054707.6
Colorado,Personal Income,USD,128210.4,147372,161875.6,174766.6,190314.9,201769.5,209588.2,216717.1,229931.8,247688.3,262526.6,278531.7,302047.2,326795.1,351355.5,381876,411899.8,442886.2,490311.8,526850.9,586243.1,616267,617969.2,629621.1,654273.9,696991.1,752788,802444.6,840263.1,800680.1,824213.6,895495.4,944131.9,991267,1073812.3,1118784.1,1134714.8,1213466.9,1312450.9,1405493,1500631.3,1671870.6
Connecticut,Personal Income,USD,154048.5,172717,186481.5,199829.2,223057.1,239735.4,257994.9,280439.3,310408.6,336647.8,347532.4,351630.3,376805.5,389030.7,399970,421935.1,442064,469141.5,506665.8,534760.5,584867.7,618343.6,617811,625754.5,658629.7,693315.1,748852.5,805801.5,858633,848935,879205,905223,916532.3,895337.3,932336,956739.5,974794.8,997804.4,1042328.8,1070211,1113494.4,1169483.7
Delaware,Personal Income,USD,25736.1,28335.3,30484.7,32528.2,35819.8,38894.8,41397.8,44559.5,48990,54484.2,57480.7,60865.6,63399.2,65833.6,68630.5,72628.2,77624.4,81225.8,89902.9,96466.6,106347.6,117499.2,121441,124287.1,129085.2,132293.4,140012.5,144845.7,145851.6,146442.9,147923.2,159042.3,160490.2,162711.2,169691.5,178505,183713.7,192308.5,204601.5,210962.8,221353.5,236689.2
Florida,Personal Income,USD,399626,462217.9,499448.4,552561.1,614181.6,672620.8,727934,783672.3,865402.7,963339.8,1030404.2,1075396.3,1136361.3,1204608.1,1269530.5,1364492.6,1452259.1,1542716.7,1666886.1,1743721.7,1886352.2,1989341.6,2057155.3,2161465.3,2348012,2550411,2762024.6,2878936.5,2903980.1,2743931.5,2922760.6,3079193.8,3176284.3,3178416.3,3394141.3,3621801.9,3755942.5,4044008.7,4312042.3,4581843.1,4884486.3,5507517.8
Georgia,Personal Income,USD,188808.2,213700.7,231351.5,253565.4,287190.6,314614.7,343260.2,368705.6,402923,434115.5,464511.8,487883.2,527577.6,560226.1,603210.5,651054.2,703218.3,748703.1,821176.1,874874.3,946467.1,994970,1023908.7,1062491.1,1121849.6,1188339.8,1266195.3,1325454.6,1341030,1316635.6,1349682.2,1441825.1,1476161.1,1496498.2,1594342.8,1692968.1,1764156.3,1870369.8,1964351.7,2066208.6,2208995.4,2424454.4
Idaho,Personal Income,USD,33583.7,36935.7,38776.6,42398.6,45121.5,47693.7,48662.6,50697.7,54991.9,60498,65373,68796.7,75527.4,82758.2,88536.9,95154.4,101055.3,105480.1,113992.4,120720.4,130668.1,136237.5,140855.5,145819.7,157546.7,166898.7,183550.8,195414.1,200629.4,193995.2,200807.6,212306.1,222879.3,231162.5,243588,258257.2,269176.3,285890.4,306118.2,332077.7,367554.1,412456
